iter	Passed	Remaining
0	2	200
1	3	171
2	5	168
3	6	157
4	8	158
5	9	155
6	11	157
7	13	153
8	15	152
9	16	146
10	17	143
11	19	141
12	20	136
13	22	135
14	23	132
15	24	130
16	26	129
17	27	125
18	28	123
19	29	119
20	31	118
21	33	117
22	34	115
23	36	114
24	37	111
25	38	110
26	39	107
27	41	105
28	42	104
29	44	103
30	45	100
31	47	100
32	48	97
33	49	95
34	50	93
35	51	91
36	52	89
37	54	88
38	55	86
39	56	85
40	58	83
41	58	80
42	59	78
43	60	77
44	62	76
45	64	75
46	65	74
47	66	72
48	68	70
49	69	69
50	70	68
51	72	66
52	73	65
53	75	64
54	76	62
55	77	61
56	78	59
57	80	58
58	81	56
59	82	54
60	83	53
61	84	52
62	86	50
63	87	48
64	88	47
65	89	46
66	91	44
67	92	43
68	93	42
69	95	40
70	96	39
71	98	38
72	99	36
73	100	35
74	101	33
75	102	32
76	104	31
77	106	29
78	107	28
79	109	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	117	19
86	118	17
87	119	16
88	121	14
89	122	13
90	124	12
91	125	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	133	2
98	134	1
99	135	0
